RCT_ID,Title,Primary Investigator,DOI Number,First registered on,RCT_ID_num
AEARCTR-0007316,Information Exposure and Discrimination,Lena Song,10.1257/rct.7316-2.1,2021-04-05,7316
AEARCTR-0007317,Why does locus of control influence behaviour?,Juliana Silva Goncalves,10.1257/rct.7317-1.0,2021-03-11,7317
AEARCTR-0007318,Which interests?  An experimental study of gender differences in political interest,Gema García-Albacete,10.1257/rct.7318-2.0,2021-03-22,7318
AEARCTR-0007319,Social Ties and Gender Differences in Preferences for Competition,Moritz Janas,10.1257/rct.7319-1.0,2021-03-12,7319
AEARCTR-0007354,Exploring bill affordability for low income electricity customers in California,Meredith Fowlie,10.1257/rct.7354-3.0,2021-03-15,7354
AEARCTR-0007355,How do Perceptions of Ability Shape Social Preferences and Reallocation?,Arthur Blouin,10.1257/rct.7355-1.3,2021-03-12,7355
AEARCTR-0007357,Is it morally acceptable to be selfish?,Ranveig Falch,10.1257/rct.7357-1.0,2021-03-13,7357
AEARCTR-0007359,Company Happiness Ratings and Jobseeker Behavior: Survey Experiment,George Ward,10.1257/rct.7359-1.3,2021-03-13,7359
AEARCTR-0007360,Work health and safety of food delivery workers in the gig economy: field trial of delivery window messaging,Elizabeth Convery,10.1257/rct.7360-1.0,2021-03-13,7360
AEARCTR-0007361,How to explain peer information: Nudging people to have a stronger intention to receive the COVID-19 vaccine,Shusaku Sasaki,10.1257/rct.7361-1.4000000000000004,2021-03-14,7361
AEARCTR-0007362,Principals and minorities: a field experiment,Josef Montag,10.1257/rct.7362-1.0,2021-03-19,7362
AEARCTR-0007363,Spillovers in Crime Reduction: Using Network Data to Measure Social Returns and Improve Targeting of Interventions,Sara Heller,10.1257/rct.7363-2.0,2021-03-26,7363
AEARCTR-0007364,Igniting Deliberation in High Stake Decisions: A Field Study,Peiyao Shen,10.1257/rct.7364-1.1,2021-03-15,7364
AEARCTR-0007366,Understanding Mechanisms of Persistence in Prosocial Behavior,Simon Haenni,10.1257/rct.7366-1.0,2021-03-15,7366
AEARCTR-0007367,Saving for Old Age in Colombia,Luis Reyes,10.1257/rct.7367-2.0,2021-05-14,7367
AEARCTR-0007368,Real-Time Guidance and Taxpayers’ Filing Behavior,Anne-Lise Breivik,10.1257/rct.7368-1.1,2021-03-15,7368
AEARCTR-0007370,Family Dialog: a couples-based intervention to improve economic cooperation and change gender norms in the Mauritanian Safety Net Program,Julia Vaillant,10.1257/rct.7370-1.2,2021-04-14,7370
AEARCTR-0007371,Political Communication on WhatsApp,Kevin Carney,10.1257/rct.7371-1.0,2021-03-15,7371
AEARCTR-0007372,The effect of regulatory complexity on individual voluntary climate action behavior: A representative online field experiment in Germany,Johannes Jarke-Neuert,10.1257/rct.7372-2.0,2021-05-26,7372
AEARCTR-0007373,Willingness to pay for working from home during the COVID-19 pandemic,Mateusz Smoter,10.1257/rct.7373-1.0,2021-05-24,7373
AEARCTR-0007374,Occupational advice for job seekers in the Netherlands,Paul Muller,10.1257/rct.7374-1.0,2021-03-17,7374
AEARCTR-0007375,Gym attendances and incentives,Lunzheng Li,10.1257/rct.7375-1.0,2021-03-22,7375
AEARCTR-0007376,Piloting an intervention in Colombia to provide socio-emotional education in early childhood,Mercedes Mateo Diaz,10.1257/rct.7376-1.0,2021-03-16,7376
AEARCTR-0007377,Reducing Barriers to Rural Roof-top Solar Adoption: Experimental Evidence from India,Meera Mahadevan,10.1257/rct.7377-1.0,2021-03-16,7377
AEARCTR-0007378,Increasing savings among low-income individuals in Uganda,Joeri Smits,10.1257/rct.7378-1.1,2021-04-14,7378
AEARCTR-0007379,Willingness to Tweet,Aakaash Rao,10.1257/rct.7379-1.2000000000000002,2021-03-17,7379
AEARCTR-0007380,"Leveraging Local Electoral Accountability to Improve Service
Delivery in Rural India",Jenna Allard,10.1257/rct.7380-2.1,2021-03-19,7380
AEARCTR-0007381,Improving Labour Market Efficiency in Ghana: The Job Centre Experiment,Monica Lambon-Quayefio,10.1257/rct.7381-1.0,2021-03-30,7381
AEARCTR-0007382,Online Deliberation on a Rent Control Ballot Initiative,Stephanie Wang,10.1257/rct.7382-1.0,2021-03-21,7382
AEARCTR-0007383,The Impacts of Soft Affirmative Action: Experimental Evidence,Hairong Hu,10.1257/rct.7383-4.6,2021-03-18,7383
AEARCTR-0007387,Cash grants and firm recovery - An RCT following cyclone Idai in Mozambique,Hanna Berkel,10.1257/rct.7387-1.1,2021-03-18,7387
AEARCTR-0007388,The influence of admission procedures on trust in vaccines ,Philipp Lergetporer,10.1257/rct.7388-1.0,2021-03-18,7388
AEARCTR-0007389,Detecting Discrimination in the German Child Care Market – A Correspondence Study,Philipp Lergetporer,10.1257/rct.7389-1.1,2021-03-19,7389
AEARCTR-0007393,Implementation of Assistance Systems into Everyday Life,Kirsten Thommes,10.1257/rct.7393-1.0,2021-03-19,7393
AEARCTR-0007396,Effects of information on vaccination intentions and decisions,Vojtech Bartos,10.1257/rct.7396-1.0,2021-03-19,7396
AEARCTR-0007398,Salience-Driven Decoy Effects in Stopping Problems,Mats Köster,10.1257/rct.7398-2.0,2021-03-21,7398
AEARCTR-0007399,Improving retention in Vocational Training in Buenos Aires ,Jared Gars,10.1257/rct.7399-1.1,2021-03-22,7399
AEARCTR-0007400,Feminism is (not) equality. Support for gender equality and support for feminism ,Gema García-Albacete,10.1257/rct.7400-1.0,2021-03-22,7400
AEARCTR-0007401,Can a job app help rural migrants who lost their jobs in the COVID lockdown re-integrate into urban labour markets?,Bhaskar Chakravorty,10.1257/rct.7401-1.1,2021-04-07,7401
AEARCTR-0007402,Improving the Effectiveness of the IRS’ Automated Substitute for Return Program,Elliott Isaac,10.1257/rct.7402-1.0,2021-04-19,7402
AEARCTR-0007403,Call and Response: The Business Impacts of Systems to Improve Worker Voice,Teresa Molina,10.1257/rct.7403-2.1,2021-04-05,7403
AEARCTR-0007404,Impact Evaluation of the NPower Tech Fundamentals Program,Patrick Turner,10.1257/rct.7404-1.1,2021-03-22,7404
AEARCTR-0007405,COVID-19 Vaccination Take-Up in a County-Run Medicaid Managed Care Population,Mireille Jacobson,10.1257/rct.7405-3.2,2021-03-25,7405
AEARCTR-0007406,Does offering structured after-class virtual study groups improve students’ outcomes?,Xuehan Zhou,10.1257/rct.7406-1.0,2021-06-04,7406
AEARCTR-0007407,"Northwest Ohio Fatherhood Connection - Preparing Fathers to Meet the Emotional, Psychological, Physical and Financial Needs of their Children",Rebecca McCloskey,10.1257/rct.7407-1.0,2021-06-18,7407
AEARCTR-0007408,Testing Experimental Robustness across Survey Invitation Strategies,Paw Hansen,10.1257/rct.7408-1.0,2021-03-25,7408
AEARCTR-0007409,Narratives and Valuations,Dor Morag,10.1257/rct.7409-2.0,2021-03-30,7409
AEARCTR-0007410,Teachers and Deserving Students,Paw Hansen,10.1257/rct.7410-1.0,2021-03-25,7410
AEARCTR-0007411,Addressing human-capital poverty traps in Bangladesh,Stefano Caria,10.1257/rct.7411-1.0,2021-09-28,7411
AEARCTR-0007412,"The Role of Digital Knowledge Management Tools in Emerging Marketplaces: Evidence from an Intervention in West Bengal, India",Shrabastee Banerjee,10.1257/rct.7412-1.2000000000000002,2021-05-28,7412
AEARCTR-0007413,Moral Wiggling and Ethnic Discrimination,Elena Cettolin,10.1257/rct.7413-2.1,2021-05-28,7413
AEARCTR-0007415,The Impact of Child-Optimized Financial Education (COFE) Curriculum in Uganda,Eunsoo Kim,10.1257/rct.7415-1.0,2021-06-02,7415
AEARCTR-0007416,Developing School Leadership At Scale: Experimental Evidence from Schools for Marginalized Communities in India,Todd Pugatch,10.1257/rct.7416-2.0,2021-08-12,7416
AEARCTR-0007417,Price beliefs for LPG in Ghana,Flavio Malagutti,10.1257/rct.7417-1.0,2021-03-29,7417
AEARCTR-0007418,"Navigating Performance Complexity in Public Service Delivery: Do Frontline Workers Distinguish Between Inputs, Outputs, and Outcomes?  ",Paw Hansen,10.1257/rct.7418-1.2,2021-04-06,7418
AEARCTR-0007419,Priming religiosity in healthcare workers,Veronica Grembi,10.1257/rct.7419-1.0,2021-03-26,7419
AEARCTR-0007420,Preferences for distribution when resources are scarce,Veronica Grembi,10.1257/rct.7420-1.0,2021-03-30,7420
AEARCTR-0007421,Replication of Village Savings and Loans Groups in Africa,Rachel Ramey,10.1257/rct.7421-1.0,2021-05-03,7421
AEARCTR-0007422,Group Decision ,Kelin Lu,10.1257/rct.7422-1.0,2021-04-20,7422
AEARCTR-0007424,"Insurance, Maternal Care, and Early Childhood Development: Evidence from Kenya",Terence Johnson,10.1257/rct.7424-1.0,2021-05-15,7424
AEARCTR-0007425,Performance pay for introspection,Guthrie Gray-Lobe,10.1257/rct.7425-1.1,2021-03-27,7425
AEARCTR-0007426,Health and Health Care Utilization Effects of Medical Debt Forgiveness  ,Neale Mahoney,10.1257/rct.7426-2.1,2021-04-16,7426
AEARCTR-0007428,Why Don’t Small Firms Merge? Experimental Evidence on Information Barriers,Morgan Hardy,10.1257/rct.7428-1.0,2021-03-28,7428
AEARCTR-0007429,American Public Response Toward Supreme Court Opinion Reasoning,Yiwei Tang,10.1257/rct.7429-1.0,2021-03-28,7429
AEARCTR-0007431,Innovation Choice under Termination Risk,Ronald Klingebiel,10.1257/rct.7431-1.0,2021-03-29,7431
AEARCTR-0007432,How Do Managers’ Beliefs about New Technologies Evolve? Informational Interventions and the Adoption of Energy-Efficient Stitching Motors in Bangladesh,Ritam Chaurey,10.1257/rct.7432-1.2,2021-04-19,7432
AEARCTR-0007433,Digital Training for Micro-Entrepreneurs in Developing Countries: Evidence from an RCT in Guatemala,Alejandro Estefan,10.1257/rct.7433-1.1,2021-06-24,7433
AEARCTR-0007434,Engaging men in household chores and child care through mobile phone-delivered Behavior Change Communications (BCC),Thomas Assefa,10.1257/rct.7434-1.2000000000000002,2021-04-09,7434
AEARCTR-0007435,Improving agricultural productivity and resilience with cellphone imagery to scale climate-smart crop insurance,Berber Kramer,10.1257/rct.7435-1.6,2021-04-05,7435
AEARCTR-0007437,Anticipated Peer Effects: An Application to COVID-19 Vaccinations,Johannes Wimmer,10.1257/rct.7437-2.2,2021-04-07,7437
AEARCTR-0007439,"Information campaigns, environment norms, and behaviour: Evidence from the field",Raisa Sherif,10.1257/rct.7439-1.0,2021-07-07,7439
AEARCTR-0007441,The effects of networks on cooperative actions in human groups in repeated prisoner’s dilemma games: which is better to promote cooperation between networks and communication?,Kyubin Yim,10.1257/rct.7441-1.0,2021-03-31,7441
AEARCTR-0007442,Normatively Framed Relative Performance Feedback in Higher Education,Raphael Brade,10.1257/rct.7442-3.0,2021-03-30,7442
AEARCTR-0007443,The impact of political and coronavirus framings on attitudes to aid,Terence Wood,10.1257/rct.7443-1.1,2021-03-30,7443
AEARCTR-0007444,Relative Wealth and Risk Taking,Dietmar Fehr,10.1257/rct.7444-1.2,2021-04-06,7444
AEARCTR-0007446,Impact of additional e-Training on performance of research interviewers,Sohini Chaparala,10.1257/rct.7446-1.0,2021-04-12,7446
AEARCTR-0007447, Does the facial image matter? An experiment on the willingness to disclose private information. ,Yu Wang,10.1257/rct.7447-4.0,2021-04-05,7447
AEARCTR-0007448,Editorial Decisions and Journal Submissions in Economics,Gauri Kartini Shastry,10.1257/rct.7448-1.4,2021-04-23,7448
AEARCTR-0007451,Integrating Immigrants: Evidence from a Field Experiment on Information and Psychological Constraints,Julia Seither,10.1257/rct.7451-1.2000000000000004,2021-03-31,7451
AEARCTR-0007452,Keeping Up With the Joneses: Economic Impacts of Overconfidence in Micro-Entrepreneurs,Julia Seither,10.1257/rct.7452-1.0,2021-04-02,7452
AEARCTR-0007453,The Impact of Social Identity on Trust and Altruism: Experimental evidence from young and elderly adults in China,Sharon Xuejing Zuo,10.1257/rct.7453-1.1,2021-03-31,7453
AEARCTR-0007455,The Los Angeles County COVID-19 Surveillance Cohort Initiative,Chun Nok Lam,10.1257/rct.7455-1.3,2021-04-01,7455
AEARCTR-0007456,Preference for Homogeneity? Occupational Segregation and Gender Stereotypes (Field Part),Robert Stüber,10.1257/rct.7456-1.1,2021-05-28,7456
AEARCTR-0007457,Influence of social norms on attitudes towards COVID-19 vaccination ,Thomas Rittmannsberger,10.1257/rct.7457-3.0,2021-04-05,7457
AEARCTR-0007458,Does information about the disproportionate burden of COVID-19 on blacks and whites affect views of policy proposals?,Omer Ali,10.1257/rct.7458-2.1,2021-04-01,7458
AEARCTR-0007459,"Violence Against Women amid COVID-19: The Effects of Social and Traditional Media Campaigns to Empower
Women",Horacio Larreguy,10.1257/rct.7459-1.0,2021-04-01,7459
AEARCTR-0007460,When Do Nudges Increase Welfare?,Hunt Allcott,10.1257/rct.7460-1.0,2021-04-02,7460
AEARCTR-0007461,The microfinance disappointment: an explanation based on risk aversion,Dagmara Celik Katreniak,10.1257/rct.7461-1.0,2021-06-21,7461
AEARCTR-0007464,An economic experiment: Enhancing the Capital gains tax on property compliance.,Dagmara Celik Katreniak,10.1257/rct.7464-1.0,2021-04-08,7464
AEARCTR-0007465,Intergenerational Transmission of Gender Norms: Experimental Evidence from Pakistan,Daniel Chen,10.1257/rct.7465-1.3,2021-04-04,7465
AEARCTR-0007466,Revealed work preferences of MTurkers,Lisa Nagel,10.1257/rct.7466-1.0,2021-08-03,7466
AEARCTR-0007467,On the External Validity of Economic Rationality ,You Shan,10.1257/rct.7467-1.2,2021-12-21,7467
AEARCTR-0007468,Cooperation and punishment in a nationwide experiment ,Thomas Rittmannsberger,10.1257/rct.7468-2.0,2021-04-05,7468
AEARCTR-0007469,Tech for Teacher Support: A study of technology take-up and effectiveness to scale-up Targeted Instruction (TI) in Pakistan ,Isabel Macdonald,10.1257/rct.7469-1.1,2021-04-08,7469
AEARCTR-0007470,What Works to Get the Elderly Vaccinated Against COVID-19? Experimental Evidence from India,Esther  Duflo,10.1257/rct.7470-2.0,2021-04-16,7470
AEARCTR-0007471,"The impacts of subsidized nursery access and employment services on mother employment in Egypt
",Bruno Crepon,10.1257/rct.7471-1.0,2021-04-07,7471
AEARCTR-0007473,Pinging Entrepreneurial Ecosystems,Aaron Defort,10.1257/rct.7473-1.0,2021-05-05,7473
AEARCTR-0007474,Wins and Losses in Collective Actions: Evidence from the Field,Biljana Meiske,10.1257/rct.7474-1.0,2021-06-10,7474
AEARCTR-0007475,"Parties, Opinions and Actions: COVID-19 and Climate Change in Germany",Valentina Stöhr,10.1257/rct.7475-2.0,2021-04-06,7475
AEARCTR-0007476,"INFORMATION FRICTIONS IN GOVERNMENT-FIRM RELATIONSHIPS: TENDER RATING, WILLINGNESS-TO-PAY, AND INFORMATION SOURCES",Emanuele Colonnelli,10.1257/rct.7476-1.1,2021-04-06,7476
AEARCTR-0007477,Testing approaches to improve customer bill payment in Kenya.,David Fuente,10.1257/rct.7477-1.2,2021-04-06,7477
AEARCTR-0007478,Can targeted messages reduce COVID-19 vaccination hesitancy? A randomized trial,Lucas Reddinger,10.1257/rct.7478-3.0,2021-04-06,7478
AEARCTR-0007482,Time perception and intertemporal choice,Frederik Schwerter,10.1257/rct.7482-1.0,2021-04-07,7482
AEARCTR-0007483,Support for Benefit-Based Taxation and Redistribution: Evidence from a Field Experiment,Alejandro Zentner,10.1257/rct.7483-1.0,2021-05-19,7483
AEARCTR-0007516,Evaluating the Effects of NCCHC Accreditation on Health Care in U.S. Jails ,Crystal Yang,10.1257/rct.7516-2.1,2021-04-08,7516
AEARCTR-0007519,Economic Context Affects Social Perception,Jeanne Hagenbach,10.1257/rct.7519-1.0,2021-04-14,7519
AEARCTR-0007520,Keep your eyes on the prize: How to make penalty contracts work ,Andrea Essl,10.1257/rct.7520-1.0,2021-04-14,7520
AEARCTR-0007522,Public views on vaccine pricing,Yee Wah Lisa Chan,10.1257/rct.7522-2.0,2021-04-14,7522
AEARCTR-0007523,Out-of-School Education Investments: An Experiment with Study Rooms in Delhi,Jose Vila-Belda,10.1257/rct.7523-1.0,2021-04-11,7523
AEARCTR-0007524,The difference in the return to Swedish language skills across immigrant groups – ethnicity or region of origin?,Dan-Olof Rooth,10.1257/rct.7524-1.0,2021-04-13,7524
AEARCTR-0007525,Moral Universalism: Global Evidence,Benjamin Enke,10.1257/rct.7525-1.0,2021-04-11,7525
AEARCTR-0007526,"Tech Competition, Nationalism, and Data Privacy Perception ",Yong Suk Lee,10.1257/rct.7526-1.0,2021-05-04,7526
AEARCTR-0007527,Negative Future Priming and Pro-Environmental Behavior,Andrea Essl,10.1257/rct.7527-1.2,2021-04-24,7527
AEARCTR-0007528,Environmental Priming and Pro-Environmental Behavior,Andrea Essl,10.1257/rct.7528-1.0,2021-04-24,7528
AEARCTR-0007529,Positve Future Priming and Pro-Environmental Behavior,Andrea Essl,10.1257/rct.7529-1.1,2021-04-24,7529
AEARCTR-0007530,Pro-social Priming and Pro-Environmental Behavior,Andrea Essl,10.1257/rct.7530-1.0,2021-04-24,7530
AEARCTR-0007531,Understanding social support for markets and “just prices”,Nicola Lacetera,10.1257/rct.7531-1.5,2021-04-22,7531
AEARCTR-0007532,Improving Workplace Climate: A Randomized Intervention on Large Corporations,Sule Alan,10.1257/rct.7532-1.2,2021-04-13,7532
AEARCTR-0007533,Why patients abandon treatment? ,Enrique Seira,10.1257/rct.7533-1.0,2021-05-13,7533
AEARCTR-0007534,Impact of COVID-19 Stimulus Packages on Small and Medium Enterprises (SMEs),Raimundo Undurraga,10.1257/rct.7534-1.0,2021-04-12,7534
AEARCTR-0007535,Out of sight out of mind: “Reasonable” bills for water and sanitation services.,David Fuente,10.1257/rct.7535-1.3,2021-04-12,7535
AEARCTR-0007536,Effort and Risk Taking under Performance Thresholds,Friederike Mengel,10.1257/rct.7536-1.0,2021-04-12,7536
AEARCTR-0007537,Price Information and Competitive Spillovers in an Online Platform in Pakistan,Shotaro Nakamura,10.1257/rct.7537-2.0,2021-06-13,7537
AEARCTR-0007538,The Effects of Labor Organizing on Worker Welfare and Service Quality,Suresh Naidu,10.1257/rct.7538-1.0,2021-06-30,7538
AEARCTR-0007539,Team Decision and Leader,Kelin Lu,10.1257/rct.7539-1.0,2021-04-20,7539
AEARCTR-0007541,Motivated vs. Skeptical Beliefs ,Jeanne Hagenbach,10.1257/rct.7541-1.2,2021-04-14,7541
AEARCTR-0007542,Climate Change Behavior and Social Norms,Felix Chopra,10.1257/rct.7542-2.1,2021-04-13,7542
AEARCTR-0007544,Covid-19 Mental Health Impacts on Work Productivity,Ellis Magee,10.1257/rct.7544-1.0,2021-04-13,7544
AEARCTR-0007545,The Value of Recommender Systems,Duarte Goncalves,10.1257/rct.7545-2.0,2021-05-11,7545
AEARCTR-0007546,Framing and Tax Compliance,Justin Holz,10.1257/rct.7546-1.0,2021-04-29,7546
AEARCTR-0007547,The effect of nutrition and gender sensitive agricultural extension: Experimental evidence from Ethiopia,Ketki Sheth,10.1257/rct.7547-1.1,2021-04-27,7547
AEARCTR-0007548,Fostering Non-Cognitive Skills in Active Labor Market Programs,Analia Schlosser,10.1257/rct.7548-1.0,2021-04-18,7548
AEARCTR-0007549,Magical thinking and time,Joakim Semb,10.1257/rct.7549-1.1,2021-05-18,7549
AEARCTR-0007550,"The direct and indirect effects of reducing paperwork
",Matthias Heinz,10.1257/rct.7550-1.0,2021-04-14,7550
AEARCTR-0007551,Reciprocating Preferences in Matching Markets,Timm Opitz,10.1257/rct.7551-2.1,2021-06-17,7551
AEARCTR-0007553,Financial decisions under cognitive load,Alberto Cardaci,10.1257/rct.7553-1.2000000000000002,2021-04-15,7553
AEARCTR-0007554,Abatement allocation under moral suasion and financial incentives,Jean-David Elbaum,10.1257/rct.7554-1.0,2021-05-06,7554
AEARCTR-0007555,Using a Returns to Education Campaign to Bring Youth Back to School: A Pilot Replication in Times of COVID-19,Christopher Neilson,10.1257/rct.7555-1.0,2021-04-14,7555
AEARCTR-0007556,Contextual influences on noisy perceptions,Keyu Wu,10.1257/rct.7556-1.0,2021-04-15,7556
AEARCTR-0007558,"Seeking the Truth: Designing a Performance Incentive, Auditing, and Reporting System for Local Bureaucrats",Steven Brownstone,10.1257/rct.7558-1.0,2021-04-24,7558
AEARCTR-0007559,Can a Shared National Identity Trump Ethnic Identity? Evidence from a Field Experiment in Singapore,Guillem RIAMBAU,10.1257/rct.7559-1.0,2021-07-08,7559
AEARCTR-0007560,"A Scientific Approach to Entrepreneurship and Innovation: 
Evidence from a Field Experiment in Tanzania
",Rajshree  Agarwal,10.1257/rct.7560-3.0,2021-04-16,7560
AEARCTR-0007561,"Bayesian Updating, Incentives, and Removal of Valence",Alexander Ritschel,10.1257/rct.7561-1.1,2021-04-20,7561
AEARCTR-0007563,Willful Ignorance and Reference-Dependence of Self-Image Concerns,Vasilisa Werner,10.1257/rct.7563-1.0,2021-06-09,7563
AEARCTR-0007564,Sharing with Friends: Job Information and Social Networks,Gaurav Chiplunkar,10.1257/rct.7564-2.0,2021-04-16,7564
AEARCTR-0007565,Covid-19 and Politics in Ukraine,Henry Hale,10.1257/rct.7565-1.0,2021-04-16,7565
AEARCTR-0007566,Discrimination of transgender people in the Swedish housing market,Joakim Jansson,10.1257/rct.7566-3.0,2021-04-16,7566
AEARCTR-0007567,Role Model Mentoring and Children's Aspirations,Giuseppe Sorrenti,10.1257/rct.7567-1.0,2021-04-20,7567
AEARCTR-0007568,Can Cash Award Encourage Patients' Methadone Maintenance Treatment Attendance?,Yiming Xia,10.1257/rct.7568-1.1,2021-04-17,7568
AEARCTR-0007570,Impact of an educational campaign on pharmacists' beliefs and irresponsible dispensing of antimicrobials.,Pablo Zarate,10.1257/rct.7570-1.3000000000000004,2021-04-17,7570
AEARCTR-0007572,Linguistic complexity and the effectiveness of central bank communications,Michael Mcmahon,10.1257/rct.7572-1.1,2021-04-19,7572
AEARCTR-0007573,Racial Discrimination in Charter Schools: A Large-Scale Field Experiment Exploring the Causal Mechanism of Discrimination,Elizabeth Bell,10.1257/rct.7573-1.0,2021-05-02,7573
AEARCTR-0007574,Conservative Values and Term Limits,Henry Hale,10.1257/rct.7574-1.0,2021-04-18,7574
AEARCTR-0007575,Conservative Values and COVID-19,Henry Hale,10.1257/rct.7575-1.0,2021-04-18,7575
AEARCTR-0007576,Conservative Values and Authoritarian Support,Henry Hale,10.1257/rct.7576-1.0,2021-04-18,7576
AEARCTR-0007577,Self-serving redistributive preferences among natives and immigrants in the UK,Linda Dezső,10.1257/rct.7577-4.6,2021-04-21,7577
AEARCTR-0007578,How does choice affect learning?,Balazs Krusper,10.1257/rct.7578-1.1,2021-04-19,7578
AEARCTR-0007579,Growth mindset intervention and the impact of conditional cash transfers on poor students,Phumsith Mahasuweerachai,10.1257/rct.7579-1.1,2021-04-19,7579
AEARCTR-0007580,Experience of social mobility and support for redistribution: Beating the odds or blaming the system?,Nina Weber,10.1257/rct.7580-1.1,2021-04-19,7580
AEARCTR-0007581,Optimal Targeting in Fundraising: A Causal Machine-Learning Approach,Ulrich Glogowsky,10.1257/rct.7581-1.1,2021-04-21,7581
AEARCTR-0007582,The Economic Consequences of Loneliness Among the Elderly ,Esther  Duflo,10.1257/rct.7582-1.0,2021-04-20,7582
AEARCTR-0007585,Digitized Extension Service Business Model: An Experimental Evidence in Nigeria,Rico Amoussouhoui,10.1257/rct.7585-1.0,2021-04-20,7585
AEARCTR-0007586,The role of monitoring and motivation in policy adoption,Daniel Morales,10.1257/rct.7586-1.0,2021-04-20,7586
AEARCTR-0007587,Building skills that matter: Demand-driven job training ,Martin Abel,10.1257/rct.7587-1.1,2021-05-24,7587
AEARCTR-0007588,Returns to Soft-Skills Training for Recent Graduates in Rwanda,DIEGO UBFAL,10.1257/rct.7588-2.0,2021-04-26,7588
AEARCTR-0007589,Building Evidence on Employment Strategies for Low-Income Families (BEES): The Journey ,Charles Michalopoulos,10.1257/rct.7589-2.1,2021-04-21,7589
AEARCTR-0007590,Impacts of Targeted Covid-19 Cash Transfers in Togo,Suzanne  Bellue,10.1257/rct.7590-1.1,2021-05-05,7590
AEARCTR-0007593,Can transparency alleviate the gender pay gap?,Katharina Brütt,10.1257/rct.7593-1.0,2021-05-04,7593
AEARCTR-0007594,A Scientific Approach to Entrepreneurship and Innovation: A Field Experiment in China,Xiaoyu Yu,10.1257/rct.7594-4.0,2021-05-13,7594
AEARCTR-0007595,Improving Adolescent Lives in India: An Impact Evaluation,Atika Pasha,10.1257/rct.7595-1.1,2021-04-22,7595
AEARCTR-0007596,Public support for rent control,Lisa Windsteiger,10.1257/rct.7596-1.1,2021-04-22,7596
AEARCTR-0007597,Why do Crowdinvestors invest? Survey and decision experiment,Christoph Siemroth,10.1257/rct.7597-2.1,2021-04-22,7597
AEARCTR-0007598,How to communicate uncertainty? The effects of asymmetrical interval predictions on ambiguity attitudes.,Aljoscha Minnich,10.1257/rct.7598-1.3,2021-04-24,7598
AEARCTR-0007599,Effects of the assessment format on performance ratings,Jana Kim Gutt,10.1257/rct.7599-2.3,2021-05-04,7599
AEARCTR-0007600,Tax Moral and Compliance of Firms,Andrew Simon,10.1257/rct.7600-1.0,2021-04-30,7600
AEARCTR-0007602,"Strengthening Community Resilience in Conflict-affected Societies: A Randomized Controlled Trial of a CDD Intervention with a Conflict Resolution Dimension in Eastern DRC
",Marijke Verpoorten,10.1257/rct.7602-1.0,2021-04-26,7602
AEARCTR-0007604,"Culture and gender gaps in preferences, beliefs and behaviour",Jing You,10.1257/rct.7604-2.0,2021-04-26,7604
AEARCTR-0007605,Enabling Sustainable Graduation out of Poverty for the Extreme Poor in Malawi: The Role of Gender Targeting and Couples Training.,Tara Bedi,10.1257/rct.7605-1.1,2021-05-06,7605
AEARCTR-0007606,Inform the People or Fix the Problem? Which lessons should we draw from the Refugee Crisis?,Laurenz Günther,10.1257/rct.7606-1.3000000000000003,2021-04-26,7606
AEARCTR-0007607,Parental migration and noncognitive skills: Evidence from priming effects in a lab-in-the-field experiment with left-behind children in China,Wenbo Zou,10.1257/rct.7607-1.0,2021-04-26,7607
AEARCTR-0007608,Quantifying and Addressing Coverage Bias in Phone Surveys,Elliott Collins,10.1257/rct.7608-1.0,2021-04-26,7608
AEARCTR-0007610,Who Ya Gonna Call?: Investigating gender differences in demand for parental involvement,Olga Stoddard,10.1257/rct.7610-1.0,2021-04-27,7610
AEARCTR-0007611,Exploiting Moral Wiggle Room in Sustainable Investing ,Marco Ceccarelli,10.1257/rct.7611-1.0,2021-04-27,7611
AEARCTR-0007612,Preliminary Test of Reactive Carrot Incentives in a Practice Quit Environment with Contingency Management Incentives,Ian Ayres,10.1257/rct.7612-1.0,2021-05-31,7612
AEARCTR-0007613,An experimental test on the causal effect of moral self-concept on university students’ cheating behavior – pre-registration of a study design,Tamas Keller,10.1257/rct.7613-1.0,2021-04-27,7613
AEARCTR-0007614,Home Visits checking health status of public employees claiming sickness benefits in Italy,Tito Boeri,10.1257/rct.7614-1.0,2021-04-27,7614
AEARCTR-0007615,Can fact-checking podcasts combat misinformation in South Africa?,Shelley Liu,10.1257/rct.7615-1.5,2021-04-27,7615
AEARCTR-0007616,"Fake News: Susceptibility, Awareness and Solutions",Tiziana Assenza,10.1257/rct.7616-4.0,2021-04-28,7616
AEARCTR-0007618,Bias in Online Classrooms,Thomas Dee,10.1257/rct.7618-1.0,2021-04-28,7618
AEARCTR-0007619,Do Perceptions of Public Good Quality Affect Support? Evidence from Higher Education Appropriations,Andrew Simon,10.1257/rct.7619-1.1,2021-05-01,7619
AEARCTR-0007620,Why Do (Some) Ordinary Americans Support Tax Cuts For the Rich? Evidence From A Randomized Survey Experiment,Julian Limberg,10.1257/rct.7620-1.1,2021-04-29,7620
AEARCTR-0007621,"Effects of an Unconditional Cash Transfer on the Economic and Psychological Well-being of Low-Income Households in Compton, CA ",Sara Constantino,10.1257/rct.7621-2.2,2021-05-21,7621
